head_type,rel,tail_type
电脑硬件,has,CPU
图书,has,书名题字
军舰,has,国家
物品,has,公司
零食/坚果/特产,has,主要食材
手机,has,RAM容量
投影机,has,光源
美术,has,文物原属
政府部门,has,员工
智能设备,has,屏幕
智能手机,has,内存
古诗词,has,韵律
文学作品,has,ISBN
水果,has,亚种
演艺组合,has,国籍
数码产品,has,网络接口
竞速游戏,has,厂商
路由器,has,处理器
笔记本电脑,has,生产商
图书,has,编译
金属材料及制品,has,铜Cu
处理器,has,CPU频率
图书,has,出版社
电脑,has,无线网卡
体育竞技游戏,has,厂商
交换机,has,内存
政府部门,has,登记机关
社会事件,has,时间
虚拟物品,has,适用职业
耳机,has,蓝牙版本
政治人物,has,妻子
服务器,has,芯片组
鱼类,has,主要材料
交通工具,has,厂商
数码产品,has,墨盒类型
电子电器产品,has,处理器
电子数码配件,has,80PLUS标准
智能手机,has,后置摄像头
教育机构,has,在校学生
显示器,has,存储容量
音乐团体,has,歌曲语言
调料菜,has,变种
国家机关,has,内设科室
休闲益智游戏,has,屏幕
读卡器,has,卡槽
3C数码,has,显存容量
根茎类,has,时间
数码产品,has,手写功能
教育机构,has,学校
菜品,has,生抽
图书,has,丛编项
厨房电器,has,面板材质
电脑,has,二级缓存
数码产品,has,复印稿台
汽车,has,燃油
诗歌,has,开本
汽车,has,车顶形式
音乐,has,发行公司
奇幻小说,has,出版社
手机,has,传感器
国画作品,has,材质
休闲类小游戏,has,画面
线材,has,转换器
文具,has,处理器
含酒精饮料,has,出品公司
手机,has,内置
无线路由器,has,网络接口
人物,has,年代
政府部门,has,管理部门
书籍,has,学位授予单位
肉禽蛋类,has,食材
手机,has,后置摄像
杂志,has,ISBN
豆科菜,has,品种审定编号
投影仪,has,投影机特性
豆科菜,has,主料
植物,has,品种类型
中央处理器,has,CPU主频
角色扮演游戏,has,来自
数码产品,has,存储扩展
电脑硬件,has,支持CPU数量
图书,has,民族
豆科菜,has,佐料
数码产品,has,公司
显卡,has,主芯片组
汽车,has,开发公司
笔记本电脑,has,声卡描述
音乐游戏,has,开发商
图书,has,开发商
数码产品,has,播放功能
手机,has,电池
图书,has,出品公司
人物,has,国籍
动作游戏,has,背景音乐
游戏,has,安卓系统
牌类游戏,has,发行公司
中餐地方菜,has,配料
CPU,has,CPU插槽
电脑主板,has,主板板型
网络设备,has,CPU型号
手机,has,WAP上网
工具软件,has,软件适用操作系统
特菜野菜,has,变种
手表,has,材质
数码产品,has,INTEL芯片
路由器,has,Flash内存
影视歌曲,has,唱片公司
动作游戏,has,画面
图书,has,卷本
角色扮演游戏,has,开发商
杂志,has,提供方
流行歌曲,has,唱片公司
影音设备,has,投影机类型
手机,has,发行公司
敏捷游戏,has,发行公司
笔记本电脑,has,显卡芯片
时间,has,大事记
影音设备,has,视频输出
二级学院,has,院歌
古诗词,has,人物
手机,has,内置游戏
安卓软件,has,来自
手机,has,拍照功能
武侠小说,has,开本
乐团,has,国籍
武器,has,开发商
中餐地方菜,has,调味料
电脑,has,标配CPU数量
电子电器产品,has,产品附件
博物馆,has,时代
游戏服务,has,开发商
古籍,has,出版社
数码产品,has,背光技术
歌曲,has,管弦乐
小说,has,ISBN
电脑硬件,has,电源接口
数码产品,has,网络打印
宠物,has,亚种
野生动物,has,有毒鱼类
虚拟物品,has,职业
图书,has,经销商
数码产品,has,台式机类型
电脑硬件,has,显卡
政府,has,办公室
插曲,has,歌曲语言
台式电脑,has,CPU型号
武器,has,制造商
从书,has,ISBN
手机软件,has,供应商
委员会委员,has,民族
角色扮演游戏,has,代理厂商
漫画作品,has,装帧
言情小说,has,连载杂志
面包,has,配料
动物,has,观赏鱼类
播放机,has,闪存
豆科菜,has,品种类型
笔记本电脑,has,显像管类型
安卓软件,has,开发商
乐队,has,节奏吉他
出版物,has,出版社
网络游戏,has,发行公司
叶菜类,has,成熟期
碎纸机,has,连续碎纸
公职人员,has,民族族群
汽车,has,设计师
影音电器,has,传感器像素
历史书籍,has,年代
冒险游戏,has,游戏公司
市政府,has,主任
飞行游戏,has,开发商
台式电脑,has,内存类型
工人,has,民族
科技公司,has,母公司
虾类,has,年代
植物,has,年代
跑酷游戏,has,开发公司
打印机,has,硬盘
回合制游戏,has,开发商
手机,has,公司
书籍,has,唱片公司
物品,has,卡口
数码产品,has,电源插口
导航仪,has,系统内存
数码产品,has,摄像头
影视从业人员,has,职业
耳机,has,存储容量
数码产品,has,笔记本处理器
文玩古董,has,画心纵
植物,has,开花结实特性
汽车,has,驱动系统
电脑,has,芯片组
数码产品,has,CPU描述
播放机,has,USB接口
数码产品,has,灯泡类型
金融组织机构,has,登记机关
宗教人物,has,人物
家常菜,has,工具
国家领导,has,民族
电器,has,面板
服务器,has,内存
CPU,has,CPU主频
休闲益智游戏,has,游戏
物品,has,内胆材质
手机,has,日期
影音电器,has,耳机配件
服饰,has,面料
菜品,has,腌料
机械轴承,has,轴承型号
书籍,has,图书策划
投影机,has,投影机特性
音乐游戏,has,发行公司
网页游戏,has,研发公司
软体动物,has,材料
人物,has,学校
时间,has,时期
故事书,has,出版社
歌曲,has,总策划
初中学校,has,教学班
笔记本电脑,has,显存容量
职业,has,种族
电脑,has,硬盘接口
高中学校,has,校歌
期刊,has,ISBN
手机,has,待机图片
数码产品,has,主板架构
贝壳类,has,主料
物品,has,卡包
网游小说,has,出版社
菜品,has,调味品
人民政府部门,has,主任科员
台式电脑,has,处理器
虚拟物品,has,攻击防御
数码产品,has,硬盘
图书,has,年鉴年份
家用电器,has,点火方式
汽车,has,隶属公司
角色扮演游戏,has,发行公司
陶艺师,has,职业
学校,has,现有学生
菜品,has,大米
网络小说,has,ISBN
投影仪,has,显示芯片
数码产品,has,适用车型
戏曲,has,戏曲种类
电脑配件,has,主板芯片组
菜品,has,食材类型
学术期刊,has,出版商
数码产品,has,无线安全
武器,has,发行公司
教育组织机构,has,主任
游戏服务,has,发行公司
电子电器产品,has,CPU系列
电子元器件,has,显卡接口
牌类游戏,has,登场动画
野生动物,has,年代
宗教人物,has,时代
工艺品,has,年代
航天员,has,职业
音乐团体,has,国籍
中餐地方菜,has,主要食材
图书,has,续集
播放机,has,读卡器
野生动物,has,拉丁亚科
网络小说,has,小说系列
处理器,has,内存类型
主板,has,主板芯片组
餐饮公司,has,登记机关
个人电脑,has,CPU主频
模拟经营游戏,has,开发商
显卡,has,CPU插槽
手机,has,摄像头
游戏,has,人物
养成游戏,has,屏幕
显卡,has,散热方式
文玩古董,has,开本
电脑硬件,has,机箱材质
面条,has,材料
汽车,has,制造商
昆虫,has,重庆特有种
国家机关,has,办公室
节日,has,日期
蔬菜类及制品,has,主要食材
面食,has,配料
鱼类,has,观赏鱼类
数码相机,has,存储容量
笔记本电脑,has,键盘
菜品,has,红辣椒
冒险游戏,has,内存
兑换卡,has,种族
显卡,has,音频芯片
菜品,has,佐料
影音电器,has,光圈
护肤化妆品,has,生产厂家
图书,has,日期
工业产品,has,铜Cu
地震,has,时间
建筑业工作人员,has,职业
司法人员,has,民族
宗教人物,has,民族族群
架类,has,材料
回合制游戏,has,发行公司
平板电脑/MID,has,内存
数码产品,has,标配内存
手机,has,生产公司
学者,has,国籍
汽车,has,座位
武器,has,公司
漫画作品,has,国籍
水果,has,品种类别
笔记本电脑,has,出品公司
过关游戏,has,发行公司
政府部门,has,主席
音乐,has,唱片公司
数码产品,has,CD—ROM
事件,has,相关事件
面包,has,主要食材
角色扮演游戏,has,日期
家常菜,has,主要材料
音乐播放器,has,传输接口
应用软件,has,时间
美发用品,has,刀头数量
电子电器产品,has,声卡描述
特色小吃,has,配料
数码产品,has,CPU频率
教育组织机构,has,学校
电脑,has,内存
电池,has,配件类型
幼儿园,has,班级
应用软件,has,软件厂商
数码产品,has,缓存
电脑硬件,has,主板板型
数码产品,has,高清摄像
数码产品,has,AMD芯片
贝壳类,has,配料
电脑,has,核心架构
时间,has,年代
应用软件,has,测试机型
策略手游,has,开发商
报刊,has,出版社
游戏,has,制作工具
生物科技公司,has,登记机关
根茎类,has,材料
菜品,has,黄瓜
跑酷游戏,has,开发商
宋词,has,年代
主任,has,职业
豆科菜,has,主要食材
播放机,has,卡拉OK功能
机械设备,has,制造公司
艺术创作专业人员,has,民族
摇滚乐队,has,专辑
智能手机,has,主屏尺寸
电脑硬件,has,二级缓存
笔记本电脑,has,主芯片组
工业产品,has,材料
政治人物,has,祖父
歌曲,has,插曲
菜品,has,副料
生物,has,亚种
显卡,has,显示芯片
电子电器产品,has,存储介质
汽车,has,发动机排量
大米,has,适种地区
漫画作品,has,作画
科幻小说,has,ISBN
手机软件,has,支持终端
大学,has,校歌
电脑配件,has,音频芯片
音频设备,has,音乐格式
音乐单曲,has,单曲格式
化妆品,has,材质
显卡,has,CPU主频
图书,has,"类别互联网+创新规划教材"""
笔记本电脑,has,生产厂家
博物馆,has,登记管理机关
诗歌,has,ISBN
电脑,has,独立显存
摄像机,has,成像器件
显卡,has,显存位宽
装扮游戏,has,开发商
笔记本电脑,has,核心架构
笔记本电池,has,配件类型
传统滋补营养品,has,主要材料
投影机,has,显示芯片
手机,has,厂商
数码相机,has,大屏幕LCD
影音设备,has,灯泡
文具,has,ISBN
笔记本电脑,has,调制解调器
图书,has,连载杂志
企业,has,母公司
乐队,has,主音吉他
模拟经营游戏,has,发行公司
竞速游戏,has,屏幕
玄幻小说,has,ISBN
应用软件,has,安全性
网络小说,has,装帧
大学,has,在校学生
手机,has,手机厂商
影音设备,has,存储容量
体育竞技游戏,has,屏幕
益智游戏,has,来自
农作物,has,开发公司
面粉类,has,主要材料
图书馆,has,时间
网络电影,has,出品公司
导航设备,has,蓝牙免提
传记小说,has,出版社
大学,has,学校
古诗词,has,职业
学院,has,研究所
主板,has,电源插口
汽车,has,性价比
音频设备,has,屏幕
公司,has,职业
政协领导,has,民族
冒险游戏,has,发行公司
鸡尾酒,has,材料
动作游戏,has,游戏ROM
有线鼠标,has,鼠标接口
歌曲,has,电吉他
游戏,has,研发公司
数码产品,has,材料及工艺
电器,has,面板类型
物品,has,扫描元件
手机,has,CPU频率
休闲益智游戏,has,开发厂商
培训机构,has,主要院系
戏曲,has,时代
一体机,has,内存
益智游戏,has,安卓游戏授权
小说,has,年代
摇滚乐队,has,民族
区领导,has,民族
无线路由器,has,防火墙功能
图书,has,"丛书名十一五规划教材"""
人物,has,民族族群
歌曲,has,弦乐演奏
战争,has,时间
硬盘,has,存储容量
数码产品,has,标配电池
文玩古董,has,游戏
武侠小说,has,ISBN
国家机关,has,下设科室
汽车,has,公司
中央处理器,has,CPU型号
政治人物,has,父亲
电脑配件,has,PCI插槽
物品,has,材质
射击游戏,has,时间
笔记本电脑,has,主板芯片组
乐队,has,贝斯
交通工具,has,生产厂商
数码产品,has,产品电源
摄影摄像,has,感光元件
角色扮演游戏,has,硬盘
动物,has,亚种
面食,has,主要食材
数码产品,has,面板类型
学生,has,民族
数码产品,has,内置存储
农作物,has,亚种
数码产品,has,面板材质
3C数码,has,CPU主频
电视剧,has,发行公司
歌曲,has,音乐制作及营销
电子元器件,has,材料
电视机,has,面板
食物,has,厨具
游戏,has,相关游戏
肉禽蛋类,has,材料
动作游戏,has,开发公司
材料,has,材质
策略手游,has,发行公司
影音设备,has,装帧
菜品,has,胡椒粉
歌曲,has,弦乐团
家用电器,has,可选档位
数码产品,has,配件类型
跑酷游戏,has,发行公司
影音电器,has,存储介质
模拟经营游戏,has,日期
爬行动物,has,亚种
CPU,has,CPU内核
动作游戏,has,支持终端
戏曲,has,角色
数码产品,has,镜头
电脑硬件,has,芯片组
文玩古董,has,种族
电脑配件,has,插槽
网络小说,has,小说分类
植物,has,时代
数码产品,has,SATA接口
外国歌曲,has,歌曲语言
特色小吃,has,主要食材
交通工具,has,发动机
面粉类,has,厨具
数码产品,has,总线类型
数码产品,has,机身类型
茄果瓜类,has,主料
电脑,has,CPU插槽
装扮游戏,has,发行公司
图书,has,图书策划
网络设备,has,标配CPU数量
电子电器产品,has,光源
茄果瓜类,has,佐料
食用藻类,has,配料
贝壳类,has,主要食材
图书,has,首印
日本漫画,has,出版社
冰箱,has,面板材质
手机,has,相机
电器,has,CPU型号
图书,has,发表杂志
澳大利亚电影,has,出品公司
数码相机,has,传感器
人物,has,哥哥
电子电器产品,has,视频输入
游戏,has,支持固件
科幻小说,has,装帧
物品,has,芯片厂商
凤梨/菠萝类,has,主要食材
广告公司,has,登记机关
图书,has,项目统筹
翻唱歌曲,has,歌曲原唱
蟹类,has,主料
电饭煲,has,内胆材质
演艺组合,has,职业
手机软件,has,出品公司
显示器,has,面板
存储设备,has,核心处理芯片
数码产品,has,显卡核心
家用电器,has,面板材质
菜品,has,花椒
游戏服务,has,卡包
书籍,has,开本
图书,has,"类别十二五规划教材"""
甜品点心,has,主料
职业学校,has,在校生
农作物,has,株型
政府部门,has,专业技术人员
树木,has,变种
图书,has,出版商
唐诗,has,年代
处理器,has,CPU系列
化妆品,has,生产厂商
艺术创作专业人员,has,经纪公司
歌曲,has,竖琴
休闲益智游戏,has,来自
工业产品,has,旧型号
数码产品,has,产品材质
数码产品,has,成像器件
豆制品,has,主料
糕饼点心,has,主料
电脑,has,背光技术
根茎类,has,土豆
诗作,has,职业
飞行游戏,has,厂商
初中学校,has,校歌
学校,has,登记管理机关
图书,has,角色
游戏,has,时间
灯具,has,材质
歌词,has,歌曲原唱
射击游戏,has,背景音乐
赛车游戏,has,画面
物品,has,处理器
影音设备,has,内存
少女漫画,has,作画
主板,has,AMD芯片
电脑,has,台式机类型
战斗游戏,has,开发商
角接触球轴承,has,旧型号
打印机,has,处理器
手机,has,镜头
路由器,has,局域网接口
粮油米面,has,主料
政府官员,has,民族
网络设备,has,网络端口
汽车,has,生产公司
菜品,has,面粉
平板电脑/MID,has,摄像头
显卡,has,显卡类型
主板,has,显卡插槽
人文社科类书籍,has,开本
歌曲,has,出版社
学生,has,国籍
民族族群,has,职业
鱼类,has,亚种
射击游戏,has,画面
茄果瓜类,has,品种类型
公司,has,母公司
乐团,has,贝斯
播放机,has,开本
化妆品,has,适用肌肤
时间,has,人物
植物,has,引种地点
电脑主板,has,INTEL芯片
物品,has,显示芯片系列
装扮游戏,has,日期
休闲游戏,has,来自
汽车,has,车型级别
小游戏,has,来自
角色,has,生日
人物,has,职业
学院,has,全日制在校生
电脑硬件,has,L3缓存
移动硬盘,has,存储容量
歌曲,has,合声
特菜野菜,has,亚种
手机,has,内屏
机械设备,has,工作台尺寸
书籍,has,封面设计
电脑,has,显存位宽
软体动物,has,配料
传媒机构,has,登记机关
歌曲,has,木吉他
虾类,has,食材
电脑,has,CPU插槽类型
休闲游戏,has,安卓游戏授权
导航仪,has,遥控器
服务器,has,CPU频率
网络游戏,has,职业
游戏,has,CPU
主打歌曲,has,歌曲语言
电脑,has,USB接口
足球队,has,国籍
工具设备,has,材料
摄像头,has,摄像头像素
石刻,has,时代
歌曲,has,键盘
家用电器,has,CPU型号
应用软件,has,固件
影音电器,has,光源
音乐播放器,has,存储容量
玩乐/收藏,has,出版社
电脑配件,has,网卡芯片
电子数码配件,has,其它配件
歌曲,has,单曲格式
笔记本电脑,has,显示芯片
家用笔记本电脑,has,CPU主频
电脑硬件,has,内存
歌曲,has,笛箫
学校,has,在校生
武器,has,发射方式
歌曲,has,民族
个人电脑,has,CPU型号
数码产品,has,刀片类型
数码产品,has,处理器
显示器,has,CPU频率
桥梁,has,材质
平板电脑/MID,has,硬盘
笔记本电脑,has,CPU主频
人物,has,武器
主板,has,网卡芯片
动作游戏,has,开发商
电子数码配件,has,出版社
数码产品,has,传感器像素
歌曲,has,出品公司
主板,has,北桥芯片
图画书,has,装帧
动作游戏,has,出品公司
连环画,has,装帧
影视制品制作人员,has,职业
主打歌曲,has,录音
汽车,has,二手车
笔记本电脑,has,主板
汽车,has,厂商
手机游戏,has,来自
计算机网络设备,has,防火墙
策略类小游戏,has,支持终端
图书,has,图绘
主板,has,集成CPU
网页游戏,has,运营
书籍,has,批准部门
智能手机,has,CPU型号
模拟经营游戏,has,厂商
电脑,has,主板架构
一体机,has,台式机类型
汽车公司,has,登记机关
人民政府部门,has,火车站
电脑,has,硬盘
根茎类,has,所用厨具
诗歌,has,年代
国家机关,has,部长
角色,has,丈夫
汽车,has,标准座位
耳机,has,配件
主板,has,主板结构
面条,has,配料
音箱,has,箱体材质
手机,has,触摸屏
食用藻类,has,主要食材
歌曲,has,视觉设计
播放机,has,显示器
数码产品,has,耳机配件
汽车,has,变速器
电脑配件,has,机箱类型
手机,has,芯片厂商
玩乐/收藏,has,开发商
粮油米面,has,配料
漫画书,has,出版社
昆虫,has,寄主昆虫
主板,has,内存插槽
电脑配件,has,主板总线
歌曲,has,监唱
电视机,has,面板类型
牌类游戏,has,画面
滚子轴承,has,轴承型号
文具用品,has,CPU主频
工程公司,has,登记机关
敏捷游戏,has,背景音乐
路由器,has,WDS功能
网络游戏,has,运营公司
歌曲,has,钢琴
电子电器产品,has,主板芯片组
Vocaloid歌曲,has,出品公司
主板,has,主板总线
手机,has,彩色屏幕
模拟游戏,has,开发商
歌曲,has,和声/和声编写
美发用品,has,刀头
幼儿园,has,办园宗旨
蟹类,has,年代
音频设备,has,ISBN
数码产品,has,芯片组描述
高校在校生,has,职业
图书,has,材质
中餐地方菜,has,主要材料
智能手机,has,前置摄像头
图书,has,封面绘画
网络设备,has,内存
数码产品,has,输入端口
教科书,has,开本
肉禽蛋类,has,亚种
音频设备,has,录音设备
手机,has,蓝牙传输
电脑主板,has,主板架构
杂志,has,出版商
打印机,has,材料
电脑配件,has,CPU平台
时间,has,世纪
无线鼠标,has,鼠标接口
运动游戏,has,开发商
电脑机箱,has,前置接口
公办高校,has,主要院系
竞速游戏,has,支持终端
手机,has,处理器
路由器,has,广域网接口
笔记本电脑,has,读卡器
古风歌曲,has,唱片公司
电脑配件,has,材质
主板,has,CPU平台
政府部门,has,主管
生活电器,has,定时
图书,has,适龄读者
数码产品,has,显存
欧美电影,has,电影分级
根茎类,has,配料
音频设备,has,储存容量
跑酷游戏,has,厂商
物品,has,游戏
月刊,has,出版社
文玩古董,has,装帧
事故,has,事故地点
游戏,has,显卡
美术,has,材质
设计师,has,民族
农作物,has,品种类别
数码产品,has,磁带格式
手机,has,屏幕
植物,has,变种
化妆品,has,面料
军队,has,参与战役
风扇,has,散热方式
运动员,has,经纪公司
文玩古董,has,时期
网络游戏,has,画面
显示器,has,面板类型
汽车,has,动力方面
交换机,has,处理器
电脑,has,系统内存
农作物,has,公司
战争游戏,has,开发商
兑换卡,has,发行公司
幼儿园,has,学生
播放机,has,遥控器
品牌轴承,has,轴承系列
角色扮演游戏,has,运营公司
导航设备,has,地图软件
根茎类,has,调味料
图书,has,印刷公司
政治人物,has,丈夫
软体动物,has,主要食材
纪录片,has,总策划
网络小说,has,人物
数码产品,has,材料
甜品点心,has,鸡蛋
存储设备,has,单碟容量
菜品,has,制作工具
图书,has,适用专业
播放器,has,存储介质
笔记本电脑,has,光驱类型
手机,has,生产厂商
中学校,has,学生
机箱,has,机箱材质
植物,has,植株高
地球区域,has,管理部门
艺术创作专业人员,has,妻子
游戏,has,原画
蟹类,has,主要食材
小说,has,角色
家常菜,has,调味品
电脑硬件,has,CPU插槽
电脑配件,has,芯片厂商
鸡尾酒,has,配料
数码相机,has,传感器尺
菜品,has,其他材料
二级学院,has,院系设置
菌菇类,has,材料
摄像机,has,存储容量
手机游戏,has,发行公司
委员会领导,has,民族
电脑,has,显卡类型
手机,has,芯片
主板,has,芯片厂商
电视机,has,显像管
中学校,has,学校前身
应用软件,has,开发公司
人民政府部门,has,事业单位
石刻,has,材质
军舰,has,制造厂
人民政府部门,has,内设科室
电子数码配件,has,发行公司
菜品,has,基本材料
模拟游戏,has,发行公司
摄影摄像,has,系统内存
网络设备,has,网络接口
公寓,has,建筑单位
服务器,has,CPU型号
电脑硬件,has,INTEL芯片
歌曲,has,经纪公司
图书,has,开本
工程技术人员,has,国籍
豆科菜,has,变种
角色扮演游戏,has,画面
乐队,has,乐器
医疗卫生机构,has,登记机关
电子数码配件,has,输入接口
面条,has,主要食材
歌曲,has,和声编写
运动游戏,has,发行公司
图书,has,从书
解谜游戏,has,内存
笔记本电脑,has,显卡类型
歌曲,has,音乐公司
音乐单曲,has,作词
歌曲,has,日期
书籍,has,编纂单位
粮油米面,has,主要食材
书籍,has,ISBN
数码产品,has,CPU系列
网络小说,has,时代
翻唱歌曲,has,唱片公司
显卡,has,电源接口
动作游戏,has,日期
童话故事,has,ISBN
欧美电影,has,国家
悬疑小说,has,出版社
中央处理器,has,标配CPU数量
耳机,has,耳机插头
鼠标,has,鼠标分辨率
经济书籍,has,出版社
肉禽蛋类,has,配料
植物,has,果实形状
游戏,has,运营
学院,has,学院前身
角色,has,国籍
角色扮演游戏,has,国内代理
事件,has,事故地点
话剧,has,演出单位
笔记本电脑,has,CPU主
电子元器件,has,主芯片组
刊物,has,ISBN
电脑配件,has,显示芯片系列
手机,has,材料
话剧,has,总策划
面粉类,has,调味品
期刊,has,出版商
U盘,has,存储容量
事件,has,国籍
电脑,has,面板类型
文玩古董,has,年代
电子电器产品,has,CPU主频
游戏,has,种族
物品,has,存储介质
地方政府,has,主任
读卡器,has,闪存卡类型
益智类小游戏,has,人物
物品,has,显卡芯片
根茎类,has,品种类别
路由器,has,产品内存
学校,has,班级
物品,has,ISBN
玄幻小说,has,连载杂志
肉禽蛋类,has,调味料
书籍,has,提供方
数码相机,has,液晶显示屏
食物,has,主料
照相机,has,感光元件
动物,has,食物
动物品种,has,恐龙食物
人文社科类书籍,has,ISBN
电脑硬件,has,CUDA核心
特菜野菜,has,品种类别
Vocaloid歌曲,has,和声编写
影视歌曲,has,专辑
案件,has,事件
食物,has,佐料
动画片,has,出品公司
图书,has,封面设计
流行歌曲,has,专辑
学院,has,研究生
影视歌曲,has,录音
根茎类,has,主要食材
菜品,has,食材
电脑硬件,has,CPU描述
电脑硬件,has,CPU插槽类型
电脑硬件,has,CPU数量
中央处理器,has,芯片组
笔记本电脑,has,总线
手机,has,主屏
影音电器,has,箱体材质
耳机,has,配件类型
相机镜头,has,镜头画幅
音箱,has,显示屏类型
休闲游戏,has,人物
策略战棋游戏,has,开发商
赛车游戏,has,开发公司
小游戏,has,人物
服务器,has,处理器
手机,has,MP3播放
歌曲,has,戏腔
书籍,has,设计
海鲜水产,has,材料
书籍,has,装帧设计
电子电器产品,has,内胆材质
学院,has,主要院系
物品,has,显像管类型
人物,has,种族
古籍,has,开本
戏曲,has,曲种
摄像机,has,视频输入
笔记本电脑,has,材质
汽车,has,前/后驻车雷达
言情小说,has,小说系列
角色扮演游戏,has,制作厂商
赛车游戏,has,支持终端
足球队,has,主席
歌曲,has,乐团
博物馆,has,时期
兽医,has,民族
手机,has,出产公司
射击游戏,has,开发公司
委员会领导,has,国籍
运动员,has,球衣
学院,has,隶属院校
笔记本电脑,has,光驱
角色扮演游戏,has,游戏运营
教育书籍,has,ISBN
电视机,has,输入端口
歌曲,has,合声编写
3C数码,has,显卡
主板,has,芯片
图书,has,批准部门
数码产品,has,存储介质
音频设备,has,内存
电视机,has,产品附件
手机,has,生产商
电脑硬件,has,主板架构
人物,has,班级
粥,has,配料
物品,has,设计
耳机,has,材质
钢材,has,金相组织
笔记本电脑,has,有线网卡
交通工具,has,生产厂家
出版物,has,开本
建筑业工作人员,has,民族
陶瓷制品,has,材质类别
电脑,has,CPU
解谜游戏,has,发行公司
角色扮演游戏,has,支持机型
电脑,has,CPU型号
政治人物,has,国籍
完全小学,has,在校学生
战争游戏,has,日期
数码产品,has,开发公司
存储设备,has,闪存卡容量
音乐作品,has,歌曲原唱
影音设备,has,CD—ROM
影视歌曲,has,出品公司
诗歌,has,时代
建筑材料,has,材料
冒险游戏,has,背景音乐
政府部门,has,公务员
言情小说,has,情节系列
手机,has,手机系统
网页游戏,has,来自
数码产品,has,网络控制器
角色,has,学校
电脑主板,has,CPU平台
影音电器,has,显示芯片
电脑,has,内存类型
音乐,has,ISBN
应用软件,has,开发商
笔记本电脑,has,笔记本类型
影音设备,has,缓存
动作游戏,has,安卓游戏大小
应用软件,has,出品公司
面食,has,厨具
家用笔记本电脑,has,CPU型号
物品,has,显存容量
工具书,has,出版社
数码产品,has,输出端口
笔记本电脑,has,CPU
瓜类,has,品种类别
运动员,has,妻子
野生植物,has,变种
冒险游戏,has,画面
网页游戏,has,开发公司
摇滚乐队,has,键盘手
菜品,has,时间
书籍,has,丛编项
笔记本电脑,has,制造商
纪录片,has,影片语系
植物,has,成熟期
电脑,has,预装操作系统
电子电器产品,has,显卡插槽
图书馆,has,出版社
医疗设备,has,时间
摇滚乐队,has,贝斯
主任,has,民族
显示器,has,输入端口
长篇小说,has,出版社
古诗词,has,出版社
益智游戏,has,时间
网页游戏,has,开发商
公司,has,出版社
肉禽蛋类,has,主要食材
鱼类,has,食物
滚子轴承,has,轴承品牌
教科书,has,ISBN
动画,has,出品公司
数码相机,has,影像处理器
动作游戏,has,厂商
芒果类,has,主要食材
网游小说,has,开本
平板电脑/MID,has,处理器
人物,has,孙子
食物,has,生产厂家
动漫作品,has,主题曲
书籍,has,民族
投资机构,has,登记机关
硬盘,has,缓存
公立中学,has,主要院系
摄像机,has,传感器
武器,has,游戏
厨房电器,has,冷冻室
游戏服务,has,游戏
漫画书,has,连载杂志
飞机,has,机型
野生动物,has,观赏鱼类
金融业务人员,has,职业
学校,has,院系设置
树木,has,亚种
数码产品,has,支持CPU类型
手机,has,存储介质
书籍,has,出品公司
电影,has,出版社
策略战棋游戏,has,发行公司
手机,has,显卡芯片
数码相机,has,机身类型
电脑硬件,has,流处理器
人文社科类书籍,has,装帧
显卡,has,主板板型
作品与出版物,has,发行公司
人民政府部门,has,办公室
教学人员,has,民族
牌类游戏,has,支持终端
播放机,has,装帧
汽车,has,动力系统
中央处理器,has,内存
运动员,has,哥哥
公司,has,隶属公司
文具,has,光驱类型
汽车,has,生产厂商
一体机,has,CPU型号
玄幻小说,has,角色
医学书籍,has,开本
言情小说,has,装帧
时间,has,立春
同人歌曲,has,歌曲语言
家用电器,has,静音功能
粮油调味/速食/干货/烘焙,has,所用厨具
宗教人物,has,时期
电子电器产品,has,网卡芯片
企业,has,公司
笔记本电脑,has,CPU核心
植物,has,引种状况
歌曲,has,项目统筹
物品,has,鞋底
从书,has,开本
香蕉类,has,配料
一体机,has,内存类型
音乐播放器,has,音乐格式
茄果瓜类,has,工具
玩乐/收藏,has,卡包
虚拟网游小说,has,出版社
豆腐,has,材料
电脑,has,高速缓存
赛车游戏,has,开发商
图书,has,印刷者
笔记本电脑,has,产品机型
动作游戏,has,出版商
植物,has,国家
数码产品,has,光源
智能手机,has,存储容量
政府部门,has,主任委员
汽车,has,发动机
跑酷游戏,has,屏幕
数码产品,has,视频输入
昆虫,has,年代
蟹类,has,工具
网络游戏,has,开发公司
歌曲,has,童声
影音设备,has,面板类型
图书,has,国家
射击游戏,has,开发商
雕塑家,has,民族
游戏,has,国外代理
厨房电器,has,内胆材质
动作游戏,has,角色
昆虫,has,拉丁亚科
机械零件,has,轴承型号
乐器,has,材料
数码产品,has,镜头卡口
杂志,has,主管
耳机,has,耳机配件
手机,has,设计
策略游戏,has,安卓游戏授权
二级学院,has,校歌
洗衣机,has,喷淋功能
笔记本电脑,has,CPU运算速度
外交人员,has,国籍
菌菇类,has,所用厨具
文玩古董,has,人物
歌曲,has,音乐时长
电子电器产品,has,主板总线
大家电,has,面板
粥,has,主要食材
数码产品,has,键盘
打印机,has,打印能力
歌曲,has,打击乐
古诗词,has,格律
笔记本电脑,has,显卡
电脑硬件,has,内存控制器
画册,has,出版社
乐队,has,来自
益智游戏,has,背景音乐
纪录片,has,出版社
食物,has,鸡蛋
智能手机,has,RAM
